 ,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
911,355.854,0.414,0,255,335.814,335.845,0.846,1,1.289,0.776,0.969
912,209.011,0.512,0,255,691.610,334.903,0.815,1,1.182,0.846,0.951
913,245.105,38.916,0,255,481.983,333.808,0.879,1,1.201,0.832,0.974
914,196.315,0.613,0,255,257.836,334.155,0.893,1,1.100,0.909,0.973
915,319.550,0.042,0,255,632.187,335.669,0.852,1,1.419,0.705,0.974
916,198.991,0.471,0,255,800.641,335.401,0.860,1,1.208,0.828,0.969
917,175.173,0.153,0,255,540.118,334.719,0.878,1,1.189,0.841,0.971
918,310.788,0.301,0,255,404.031,337.798,0.841,1,1.074,0.931,0.963
919,277.107,0.338,0,255,663.310,337.174,0.863,1,1.050,0.953,0.968
920,128.219,0.939,0,255,375.747,335.024,0.887,1,1.183,0.846,0.969
921,218.507,1.837,0,255,506.190,336.406,0.897,1,1.118,0.894,0.976
922,335.971,0.557,0,255,597.114,338.644,0.855,1,1.396,0.716,0.972
923,223.963,0.239,0,255,187.860,337.233,0.884,1,1.261,0.793,0.976
924,182.517,0.147,0,255,459.099,336.941,0.893,1,1.125,0.889,0.976
925,178.111,13.219,0,255,472.880,337.618,0.872,1,1.095,0.913,0.973
926,243.426,2.803,0,255,816.357,338.881,0.874,1,1.119,0.894,0.971
927,160.326,0.584,0,255,684.178,338.279,0.852,1,1.159,0.863,0.966
928,235.767,0.397,0,255,672.652,339.848,0.866,1,1.219,0.821,0.966
929,164.103,0.082,0,255,227.023,340.108,0.884,1,1.266,0.790,0.974
930,202.558,0.132,0,255,72.244,340.993,0.828,1,1.061,0.943,0.966
931,123.969,0.324,0,255,697.664,339.596,0.870,1,1.140,0.877,0.967
932,203.293,1.119,0,255,297.377,340.849,0.868,1,1.206,0.829,0.971
933,319.078,0.797,0,255,168.029,343.365,0.869,1,1.088,0.919,0.975
934,379.357,0.071,0,255,8.797,347.113,0.808,1,1.413,0.708,0.954
